"Number of Trees","Average Squared Error","Log Loss","Misclassification Rate","Data Source",
"5","0.0750767365314","0.27351866318","0.11257146225","VALIDATE",
"6","0.0719262589523","0.265827177115","0.0865798314375","VALIDATE",
"7","0.0693164430908","0.259481234278","0.0790947132669","VALIDATE",
"8","0.0671303929086","0.253891387117","0.0757941887193","VALIDATE",
"9","0.0653110096056","0.249201219645","0.0717864089114","VALIDATE",
"10","0.0638737258916","0.245487636491","0.0697825190075","VALIDATE",
"11","0.0625389422925","0.241949030812","0.0684269464254","VALIDATE",
"12","0.0613562672219","0.238641129992","0.0668945600283","VALIDATE",
"13","0.0604224948668","0.236013255647","0.0660694288914","VALIDATE",
"14","0.0596694500605","0.233790553032","0.0653032356928","VALIDATE",
"15","0.0589999255637","0.23181288647","0.0643012907408","VALIDATE",
"16","0.0584077163665","0.230028758099","0.063829787234","VALIDATE",
"17","0.0579027485494","0.228550346284","0.0633582837272","VALIDATE",
"18","0.0575320387792","0.227443384721","0.0632993457889","VALIDATE",
"19","0.057295776387","0.226635885608","0.0627099664054","VALIDATE",
"20","0.0569130550638","0.225437580291","0.0625920905287","VALIDATE",
"21","0.0566105405526","0.224343170736","0.0628278422821","VALIDATE",
"22","0.0563428820041","0.22339928683","0.0625331525903","VALIDATE",
"23","0.0561322754633","0.222694396646","0.0621795249602","VALIDATE",
"24","0.0559245125332","0.221991253401","0.0621205870219","VALIDATE",
"25","0.0558097475445","0.221578287604","0.0617669593918","VALIDATE",
"26","0.0556991519792","0.221149919177","0.0620027111452","VALIDATE",
"27","0.0554862857539","0.220413892236","0.0615901455767","VALIDATE",
"28","0.0553876639719","0.219970770848","0.0614722697","VALIDATE",
"29","0.0552241868682","0.219301696758","0.0615901455767","VALIDATE",
"30","0.0551663830049","0.219108118787","0.0615901455767","VALIDATE",
"31","0.055047167681","0.218791204258","0.0615901455767","VALIDATE",
"32","0.0549590933874","0.218492410074","0.0615312076384","VALIDATE",
"33","0.0548199531612","0.218043660678","0.0610597041315","VALIDATE",
"34","0.0547886720175","0.217884856978","0.0610007661932","VALIDATE",
"35","0.0547821371669","0.217896435717","0.0611186420699","VALIDATE",
"36","0.0546943012243","0.217621444151","0.0611186420699","VALIDATE",
"37","0.0547046277584","0.217689173647","0.0609418282548","VALIDATE",
"38","0.0546210565376","0.217327026877","0.0607060765014","VALIDATE",
"39","0.0545777695374","0.217124501365","0.0608828903165","VALIDATE",
"40","0.0545428154034","0.217052983409","0.0607060765014","VALIDATE",
"41","0.0545204809646","0.216985078374","0.0611186420699","VALIDATE",
"42","0.0544701364917","0.216775110707","0.0611186420699","VALIDATE",
"43","0.0544474120415","0.216638753566","0.061295455885","VALIDATE",
"44","0.054422826974","0.216639966101","0.0612365179466","VALIDATE",
"45","0.0543943119707","0.21658054234","0.061295455885","VALIDATE",
"46","0.0543709007926","0.216571441842","0.0611186420699","VALIDATE",
"47","0.0543004326246","0.216369313876","0.0611186420699","VALIDATE",
"48","0.0543135240644","0.216425149035","0.061295455885","VALIDATE",
"49","0.0542704353107","0.216303420703","0.0612365179466","VALIDATE",
"50","0.0542769648587","0.216276548439","0.0613543938233","VALIDATE",
