"Accuracy","True Positive","1 - Specificity","Formatted Partition","Analysis Variable","True Negative","ROC Separation","False Positive Rate","Data Role","False Discovery Rate","Misclassification Rate (Event)","False Negative","KS (Youden)","Sensitivity","Event","Target Name","F1 Score","False Positive","Cutoff","Specificity","F0.5 Score","Partition Indicator",
"0.882949254435","1357","0.0861282532868","           0","P_churn1","13624","0.572929541759","0.0861282532868","VALIDATE","0.486179477471","0.117050745565","702","0","0.659057795046","1","churn","0.577446808511","1284","0.1","0.913871746713","0.537510892815","0",
"0.914657865268","1304","0.0464851086665","           0","P_churn1","14215","0.586832035578","0.0464851086665","VALIDATE","0.347020530796","0.0853421347321","755","0","0.633317144245","1","churn","0.642998027613","693","0.15","0.953514891334","0.648949935304","0",
"0.924618376849","1274","0.0331365709686","           0","P_churn1","14414","0.585610393577","0.0331365709686","VALIDATE","0.279411764706","0.0753816231508","785","0","0.618746964546","1","churn","0.665795662399","494","0.2","0.966863429031","0.697623480451","0",
"0.931278363883","1260","0.0246176549504","           0","P_churn1","14541","0.587329892403","0.0246176549504","VALIDATE","0.225568531039","0.0687216361172","799","1","0.611947547353","1","churn","0.683667932718","367","0.25","0.97538234505","0.735379946306","0",
"0.934166322862","1237","0.0197880332707","           0","P_churn1","14613","0.58098904298","0.0197880332707","VALIDATE","0.192558746736","0.065833677138","822","0","0.600777076251","1","churn","0.688944583681","295","0.3","0.980211966729","0.755465982655","0",
"0.936229150704","1206","0.0153608800644","           0","P_churn1","14679","0.570360343831","0.0153608800644","VALIDATE","0.159581881533","0.0637708492957","853","0","0.585721223895","1","churn","0.690326273612","229","0.35","0.984639119936","0.773176048211","0",
"0.93746684741","1176","0.0119398980413","           0","P_churn1","14730","0.559211146155","0.0119398980413","VALIDATE","0.131462333826","0.0625331525903","883","0","0.571151044196","1","churn","0.689129797832","178","0.4","0.988060101959","0.786622073579","0",
"0.938233040608","1150","0.00932385296485","           0","P_churn1","14769","0.549199702159","0.00932385296485","VALIDATE","0.10783553142","0.0617669593918","909","0","0.558523555124","1","churn","0.686977299881","139","0.45","0.990676147035","0.796950796951","0",
"0.938645606177","1129","0.0074456667561","           0","P_churn1","14797","0.540878762579","0.0074456667561","VALIDATE","0.0895161290323","0.0613543938233","930","0","0.548324429335","1","churn","0.684449833283","111","0.5","0.992554333244","0.804245619034","0",
"0.938940295868","1105","0.00550040246847","           0","P_churn1","14826","0.531167883107","0.00550040246847","VALIDATE","0.0690817186184","0.0610597041315","954","0","0.536668285576","1","churn","0.680837954405","82","0.55","0.994499597532","0.811664463053","0",
"0.93888135793","1080","0.00389052857526","           0","P_churn1","14850","0.520635940585","0.00389052857526","VALIDATE","0.0509666080844","0.0611186420699","979","0","0.52452646916","1","churn","0.675633406318","58","0.6","0.996109471425","0.816820450764","0",
"0.937879412978","1047","0.00281727931312","           0","P_churn1","14866","0.505681992178","0.00281727931312","VALIDATE","0.0385674931129","0.0621205870219","1012","0","0.508499271491","1","churn","0.665184243964","42","0.65","0.997182720687","0.816056118472","0",
"0.936995343903","1014","0.00160987389321","           0","P_churn1","14884","0.490862199929","0.00160987389321","VALIDATE","0.0231213872832","0.0630046560971","1045","0","0.492472073822","1","churn","0.65482725218","24","0.7","0.998390126107","0.816293672517","0",
"0.935345081629","978","0.00107324926214","           0","P_churn1","14892","0.473914608921","0.00107324926214","VALIDATE","0.0160965794769","0.064654918371","1081","0","0.474987858184","1","churn","0.640681297085","16","0.75","0.998926750738","0.810273405137","0",
"0.93316437791","938","0.00087201502549","           0","P_churn1","14895","0.454688936893","0.00087201502549","VALIDATE","0.0136698212408","0.0668356220899","1121","0","0.455560951918","1","churn","0.623255813953","13","0.8","0.999127984975","0.799931775542","0",
"0.928744032534","859","0.000603702709954","           0","P_churn1","14899","0.416589109335","0.000603702709954","VALIDATE","0.0103686635945","0.0712559674663","1200","0","0.417192812045","1","churn","0.586949094636","9","0.85","0.99939629729","0.776532272645","0",
"0.923439618082","765","0.000335390394419","           0","P_churn1","14903","0.371204191927","0.000335390394419","VALIDATE","0.00649350649351","0.0765603819178","1294","0","0.371539582322","1","churn","0.540827147402","5","0.9","0.999664609606","0.744308231173","0",
"0.908940885248","515","0.0000670780788838","           0","P_churn1","14907","0.250054340085","0.0000670780788838","VALIDATE","0.00193798449612","0.0910591147522","1544","0","0.250121418164","1","churn","0.4","1","0.95","0.999932921921","0.624545234053","0",
"0.878646784935","0","0","           0","P_churn1","14908","0","0","VALIDATE"," ","0.121353215065","2059","0","0","1","churn","0","0","1","1","0","0",
" "," ","0","           0","P_churn1"," "," ","0","VALIDATE","0","0.121353215065"," "," ","0","1","churn"," "," ","1","1"," ","0",
