Feature Name,Feature Value,Prediction Mean,Actual Mean,Frequency,Feature Omitted Data [%],Feature Plot Data is Capped
TotalCharges,"Bin [ 5210, 5642 )",0.1864896486897363,0.16666666666666666,24.0,0,False
TotalCharges,"Bin [ 5642, 6075 )",0.14318478722921651,0.08823529411764706,34.0,0,False
TotalCharges,"Bin [ 6075, 6507 )",0.11619940092344423,0.08823529411764706,34.0,0,False
TotalCharges,"Bin [ 6507, 6940 )",0.13883457281562667,0.1111111111111111,27.0,0,False
TotalCharges,"Bin [ 6940, 7372 )",0.14343308520980616,0.07142857142857142,14.0,0,False
TotalCharges,"Bin [ 7372, 7805 )",0.12259258410418351,0.26666666666666666,15.0,0,False
TotalCharges,"Bin [ 7805, 8238 )",0.09548185296340209,,8.0,0,False
TotalCharges,"Bin [ 8238, 8670 ]",0.056911659386623153,,9.0,0,False
TotalCharges,"Bin ( nan, nan )",0.2659309854414929,,2.0,0,False
TechSupport,No,0.4027148852986965,0.3904109589041096,584.0,0,False
TechSupport,No internet service,0.08405411179819255,0.08733624454148471,229.0,0,False
TechSupport,Yes,0.15180190793389825,0.1624203821656051,314.0,0,False
PaymentMethod,Bank transfer (automatic),0.16575456386786758,0.1583011583011583,259.0,0,False
PaymentMethod,Credit card (automatic),0.1452995780048966,0.14473684210526316,228.0,0,False
PaymentMethod,Electronic check,0.44474347223127664,0.4278481012658228,395.0,0,False
PaymentMethod,Mailed check,0.20558071979273726,0.22857142857142856,245.0,0,False
OnlineSecurity,No,0.4131558798726241,0.4225865209471767,549.0,0,False
OnlineSecurity,No internet service,0.08405411179819255,0.08733624454148471,229.0,0,False
OnlineSecurity,Yes,0.16054072795304375,0.1346704871060172,349.0,0,False
StreamingMovies,No,0.3363765995337324,0.3506787330316742,442.0,0,False
StreamingMovies,No internet service,0.08405411179819255,0.08733624454148471,229.0,0,False
StreamingMovies,Yes,0.2942386734907308,0.2719298245614035,456.0,0,False
MultipleLines,No,0.2552970427810762,0.26151012891344383,543.0,0,False
MultipleLines,No phone service,0.2637109499894083,0.2786885245901639,122.0,0,False
MultipleLines,Yes,0.2842005488715086,0.2662337662337662,462.0,0,False
PaperlessBilling,No,0.17181075345227018,0.14096916299559473,454.0,0,False
PaperlessBilling,Yes,0.3329830633583034,0.3491827637444279,673.0,0,False
Dependents,No,0.3065001318688644,0.302915082382763,789.0,0,False
Dependents,Yes,0.17831680373649408,0.17751479289940827,338.0,0,False
OnlineBackup,No,0.386810452635763,0.4061855670103093,485.0,0,False
OnlineBackup,No internet service,0.08405411179819255,0.08733624454148471,229.0,0,False
OnlineBackup,Yes,0.23062523626474096,0.19854721549636803,413.0,0,False
Partner,No,0.33075097223788785,0.34655172413793106,580.0,0,False
Partner,Yes,0.20157974371022733,0.17915904936014626,547.0,0,False
PhoneService,No,0.2637109499894083,0.2786885245901639,122.0,0,False
PhoneService,Yes,0.2685840276704089,0.263681592039801,1005.0,0,False
StreamingTV,No,0.3302906052916266,0.32461873638344224,459.0,0,False
StreamingTV,No internet service,0.08405411179819255,0.08733624454148471,229.0,0,False
StreamingTV,Yes,0.29897016919550395,0.296127562642369,439.0,0,False
DeviceProtection,No,0.3991766522762009,0.3882113821138211,492.0,0,False
DeviceProtection,No internet service,0.08405411179819255,0.08733624454148471,229.0,0,False
DeviceProtection,Yes,0.21294674676303507,0.21674876847290642,406.0,0,False
SeniorCitizen,Bin 0,0.25070979380113584,0.24346917450365727,957.0,0,False
SeniorCitizen,Bin 1,0.36570830023401174,0.38823529411764707,170.0,0,False
gender,Female,0.2771590251469117,0.2695035460992908,564.0,0,False
gender,Male,0.258937821535721,0.261101243339254,563.0,0,False
